Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	100000	57.0190088192567	1.15046148445563	57.0306139573974	1.15588899461475	731.102538154144
2	79433	57.0015906206811	1.05886378943721	57.0114245201109	1.06420625685523	733.085574149137
3	63096	56.9625296208571	1.00460832421136	56.971387719557	1.0103808723506	735.343616143436
4	50119	57.0135551006484	0.992965698035276	57.0222013437937	0.99778012896982	737.641657137634
5	39811	57.0521371000852	1.02144481309739	57.0612801923785	1.02569733183702	739.969703131756
6	31623	57.0990870964184	1.0926903106306	57.1095414038611	1.09632054549081	742.242743126017
7	25119	57.1682223109775	1.19732505387036	57.1807592594045	1.19982118611279	744.690790119836
8	19953	57.2237666583235	1.33603328829832	57.2393610683566	1.33747162382962	747.18883611353
9	15849	57.2962694401912	1.53384681507726	57.3167966464902	1.5334674461488	749.611881107412
10	12589	57.4012384844984	1.76611108299861	57.4284017530677	1.7623103782142	752.059926101231
11	10000	57.5324212715387	2.05883575415259	57.5692478848593	2.04949280141614	754.557972094924
12	7943.3	57.6653679350424	2.41715051108012	57.7160053683295	2.40025342091922	757.116018088466
13	6309.6	57.8152517437161	2.85546951307814	57.885723976896	2.8275154255222	759.709066081919
14	5011.9	57.9955818212561	3.38236688202763	58.0941297939013	3.33777274531156	762.412118075094
15	3981.1	58.20053272176	4.03336531694495	58.3401237989481	3.96432653572291	765.165168068144
16	3162.3	58.4439613638863	4.81306990410972	58.6418132547526	4.70788904413152	767.983222061029
17	2511.9	58.7099030630886	5.77095932269173	58.9928528652533	5.61392189691829	770.871275053737
18	1995.3	58.9865775625099	6.92700196722371	59.3919160222325	6.69776917358872	773.679327046647
19	1584.9	59.3276467516439	8.33963385280496	59.9109268989113	8.00158805485913	776.512379039495
20	1258.9	59.650505389524	10.0683819711488	60.4942568244505	9.5806262192464	779.400431032203
21	1000	60.0814641416248	12.2218856699145	61.3119631289833	11.4983275348199	782.548491024255
22	794.33	60.5285485154357	14.849846949852	62.3235360022158	13.784473894418	785.886554015827
23	630.96	60.9739922676239	18.123590679692	63.6104729755822	16.55377979785	789.199612007463
24	501.19	61.5041441753505	22.1894176049828	65.3844783139747	19.8383906409635	792.597676998883
25	398.11	62.1163176815206	27.2983819407549	67.8501184884368	23.7241439150743	796.050740990165
26	316.23	62.7826558029196	33.6613985144032	71.2372909339859	28.1983227976298	799.448805981586
27	251.19	63.5354919082305	41.6007925719855	75.9432990766018	33.2153606077946	802.691862973398
28	199.53	64.5690198522802	51.6702061796387	82.6980563939113	38.6679181572486	809.933998955113
29	158.49	65.7026303428548	64.1263685416527	91.8097313813175	44.3044026200815	815.060094942171
30	125.89	67.3420594124371	79.8684627181547	104.469729122217	49.8636829694373	818.988163932254
31	100	69.6337441117345	99.4987868527897	121.444913043715	55.0139344944986	823.051239921995
32	79.433	72.8625370674089	124.129082495476	143.933937725153	59.5874897186746	830.433379903357
33	63.096	77.7905284438677	154.344619057457	172.839890498599	63.2516470468829	834.311447893566
34	50.119	84.5403710787208	193.629310351516	211.280344966898	66.4134674894099	838.644527882626
35	39.811	94.4525813313637	240.147049202614	258.054055114196	68.5297180958132	843.077609871434
36	31.623	109.747457761676	299.083779078777	318.583758834617	69.8496133593704	847.55069486014
37	25.119	132.738761388762	369.952269542081	393.044858145173	70.2620290244516	852.103779848645
38	19.953	165.677007914165	456.407347322102	485.547667733033	70.0489762528851	856.501858837541
39	15.849	216.964926347398	557.702571415643	598.419532960408	68.7423027792144	861.339949825326
40	12.589	287.655660334485	674.482336679929	733.261345916779	66.9025469149414	874.049185793238
41	10	394.19068274418	807.955693735632	898.987595799936	63.9928761855321	879.397284779735
42	7.9433	535.397083704678	946.281096938466	1087.24328080818	60.4992203415683	885.080387765387
43	6.3096	727.38014551677	1073.97439751082	1297.11328826773	55.8910454876739	890.613489751417
44	5.0119	953.747836634729	1168.05357874566	1507.97350729579	50.7674175514771	896.481601736602
45	3.9811	1213.30050641847	1224.61718532576	1723.88670436038	45.2659619250468	902.134706722329
46	3.1623	1476.80189366824	1222.06913422399	1916.87161854024	39.6081150956796	908.33281870668
47	2.5119	1745.48041331986	1166.70602387	2099.50108821544	33.7593781470571	914.405932691347
48	1.9953	1953.86322406191	1077.05565813713	2231.0603732456	28.8654936900648	920.889053674979
49	1.5849	2131.70223428672	973.915718568588	2343.64379600185	24.5543481583812	927.482174658333
50	1.2589	2274.07044171737	840.026385611538	2424.26085692448	20.273892134553	934.315299641081
51	1	2368.98513800282	725.016538942576	2477.44617818804	17.0164789038191	943.184465618688
52	0.79433	2448.6319277081	627.868040021571	2527.8482140097	14.3816953732728	947.222537608493
53	0.63096	2508.54994454396	545.216566789092	2567.11587758964	12.2621483243217	951.77062259701
54	0.50119	2556.85839622657	481.066638865949	2601.72057865253	10.6554927977959	956.343707585464
55	0.39811	2595.10083678338	429.386011351677	2630.38413541032	9.39505420347236	961.511802572416
56	0.31623	2629.73461977024	392.716870896759	2658.89652132329	8.49361489323418	967.099906558307
57	0.25119	2662.43437792121	368.809876147246	2687.85742580972	7.88662575710538	973.283021542697
58	0.19953	2693.03183426734	351.075794959707	2715.8193375451	7.42744937379957	980.516157524435
59	0.15849	2729.14483430423	347.858591937061	2751.22465941876	7.2637902717169	988.714308503736
60	0.12589	2759.00356656417	347.562414537416	2780.80929089229	7.17995113173531	998.172482479857
61	0.1	2796.91697612945	356.055381401158	2819.48931652273	7.25489056363671	1009.33569145167
