Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	100000	55.7332902068206	1.3311968918102	55.749185845557	1.36825699524576	12.3452289688313
2	79433	55.771230307053	1.16445658034558	55.7833854215559	1.19611410005855	14.4182649635974
3	63096	55.7334751579929	1.13082800378766	55.7449461849302	1.16236755049954	16.711306957808
4	50119	55.790239678507	1.12257916816656	55.8015324823079	1.15271722547545	19.0843519518166
5	39811	55.836246945283	1.15244161759636	55.8481386853366	1.18239800587332	21.3973949459768
6	31623	55.8955705475724	1.25404539567118	55.9096363491397	1.2852441775625	23.7754389399728
7	25119	55.9619894681427	1.37849623984951	55.9789649521656	1.41106577006387	26.2384839337542
8	19953	56.0626047435977	1.54454870326042	56.0838771959786	1.57812399652974	28.7315299274599
9	15849	56.161925892512	1.75421039372732	56.1893154795595	1.78904450679891	31.3095799209509
10	12589	56.2838370408445	2.02546136631443	56.3202699370907	2.0609883142189	33.927627914341
11	10000	56.4265182213538	2.37660759502315	56.4765457711915	2.41179420567357	36.6806789073902
12	7943.3	56.5836931695637	2.76046050567694	56.6509882959753	2.79298557093374	39.4487309004015
13	6309.6	56.7691257949795	3.24745156452029	56.8619344130158	3.27401041184884	42.2817828932488
14	5011.9	56.9713184705676	3.84101323683613	57.1006524565209	3.85705146588448	45.2698388857046
15	3981.1	57.21444119647	4.56128295014749	57.3959718410241	4.55812708218756	48.2728948781227
16	3162.3	57.4735150647534	5.44405021556578	57.7307770313898	5.4110697219785	51.3759498702882
17	2511.9	57.7507437098245	6.50881933561789	58.1163757316433	6.43040662641974	54.6190098621003
18	1995.3	58.1332449082624	7.8211773169185	58.6570113301615	7.66249464054032	57.9920718535841
19	1584.9	58.4738703184275	9.40922101878966	59.226066475807	9.14128939974499	61.3101338452068
20	1258.9	58.8541714204377	11.3616209550416	59.9408035007231	10.9263697294396	64.7631968364886
21	1000	59.3555225840468	13.7748773971336	60.9329574904366	13.0655778789619	68.2512638276821
22	794.33	59.8806605273893	16.731163389669	62.1741532597609	15.6108131197719	71.8293308186484
23	630.96	60.4399650023148	20.3989949033371	63.7895631161353	18.649969987553	75.5073988093621
24	501.19	61.1110135883614	24.9355961187958	66.0025752194306	22.1973102448453	79.3004687997856
25	398.11	61.8011948538569	30.6029927714307	68.9632572601718	26.3438992851016	83.1485397900701
26	316.23	62.5320816704881	37.5794641274809	72.9553107193247	31.0043075627077	87.1566137799507
27	251.19	63.3551122855015	46.3836166292944	78.519488945878	36.2086464980509	94.6987557609086
28	199.53	64.2562822362646	57.2589545415086	86.066588650957	41.7043220302536	100.434861746426
29	158.49	65.199966548615	70.9668500550371	96.3707914498716	47.4251190856583	104.442931736307
30	125.89	66.4396458915718	88.2801425051622	110.488054136767	53.0348766914814	108.521008726011
31	100	68.0066904743345	110.029439320484	129.349864578406	58.2807330834219	116.90616570484
32	79.433	69.7990375066247	137.361560314834	154.078239505055	63.0630103277723	121.194241694014
33	63.096	71.7956965966452	171.516912309831	185.937283130887	67.2861790636027	125.17231568397
34	50.119	76.3990186131667	214.138984786708	227.359439765621	70.3649696814782	129.81040367226
35	39.811	80.5153853039387	267.798566294547	279.640482369876	73.2662520144015	134.393488660689
36	31.623	86.79318442763	334.471530675551	345.549217472034	75.4529705079342	139.10657564879
37	25.119	98.5149571704969	419.345627500338	430.762059715055	76.779497130659	143.849664636815
38	19.953	112.549533939202	523.902956446071	535.856049105416	77.8754863476132	148.892757624082
39	15.849	138.066124521915	653.070461163406	667.505267383475	78.0628261939661	159.393951597569
40	12.589	170.001114698175	815.22557533943	832.762341659448	78.2207688905919	163.472028587273
41	10	218.271994229748	1015.10183230529	1038.30361331096	77.8647656869011	166.845087578757
42	7.9433	289.747015082276	1252.65119950291	1285.7248385114	76.9761316098207	170.738162568928
43	6.3096	394.01459087997	1555.0376868328	1604.17882584724	75.7816637145958	174.236226560096
44	5.0119	557.635531323012	1900.28702547013	1980.41615953921	73.6457763464575	180.129334545217
45	3.9811	818.876729016729	2305.55100302228	2446.65578389404	70.4461750887349	186.207448529871
46	3.1623	1150.83424648191	2735.98458115219	2968.16965336857	67.1869698943565	192.31556051445
47	2.5119	1568.26313926138	3206.37967029377	3569.35846673309	63.9364136852148	209.604881470799
48	1.9953	2130.31637056686	3662.87981635436	4237.32656137822	59.8178871627457	216.358004453749
49	1.5849	2853.37402516691	4081.21588867773	4979.76570307206	55.0407544019572	223.351135436093
50	1.2589	3626.51612993078	4465.00381719098	5752.20638782877	50.9161868197637	230.449265418172
51	1	4519.72855473968	4581.90896081728	6435.97979593993	45.3914262026932	240.168449393633
52	0.79433	5417.30877240208	4644.20698320465	7135.53731952902	40.6061686216284	245.371543380496
53	0.63096	6266.67773705357	4601.10846210682	7774.40987729319	36.2867906191576	253.229688360656
54	0.50119	7024.3347234534	4468.81843795165	8325.3598443845	32.4641508907816	259.072795345904
55	0.39811	7664.70184050495	4316.73367652935	8796.6950576863	29.388061678414	265.18591033047
56	0.31623	8223.57110365598	4145.5852201215	9209.39729375247	26.7531342168645	274.689085306477
57	0.25119	8803.3154632655	4036.96754060245	9684.80614517644	24.6349373629733	281.952220288139
58	0.19953	9319.11601313995	3988.98553112538	10136.9585593456	23.1730234029308	289.875368268135
59	0.15849	9877.47987551165	3978.77806444651	10648.7221570129	21.9402206464832	302.128592237199
60	0.12589	10262.9690878002	4050.28539612139	11033.283567786	21.536693323652	315.176836204255
61	0.1	10801.1477534286	4103.46008052818	11554.3575080522	20.8022665502229	329.865107167171
