Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	100000	58.5174771398324	1.33634903450433	58.5327340857476	1.30822204195296	128.851385674682
2	79433	58.5113158245512	1.14815668008642	58.5225797729595	1.12416016391381	130.783419669804
3	63096	58.4875277278175	1.08860874552289	58.4976578053605	1.06630401322026	133.125463663891
4	50119	58.5113162234064	1.09465180245264	58.5215549072654	1.07178605134178	135.537507657801
5	39811	58.5199990694599	1.10060695327714	58.5303479124735	1.07745558372354	137.829552652014
6	31623	58.5916999250188	1.17153114654388	58.6034110383583	1.14546680302578	140.176593646088
7	25119	58.6628191938285	1.2713907187248	58.6765949091073	1.2415686980942	142.533637640137
8	19953	58.738811605202	1.43055059242435	58.7562291488221	1.39513056895059	144.975684633972
9	15849	58.8268320640827	1.61914901523023	58.8491105644708	1.57661029286645	147.417727627806
10	12589	58.9270284563928	1.87577534785838	58.95687589973	1.82323349631978	149.9947756213
11	10000	59.0709553654196	2.16319741818922	59.1105505883126	2.09725273601456	152.506825614957
12	7943.3	59.2157612403149	2.53912115277972	59.2701739114918	2.45528993438438	155.308875607883
13	6309.6	59.4098451257374	2.9938952587797	59.4852343584914	2.88491871772484	157.9559236012
14	5011.9	59.588214238457	3.54180712239256	59.6933804857832	3.40154729009661	160.777976594075
15	3981.1	59.8205502108146	4.18870228913502	59.9670197224408	4.0053774725647	163.605027586937
16	3162.3	60.0580065190618	4.98647809766562	60.264658887794	4.74625047269861	166.517082579585
17	2511.9	60.3470531393116	5.95344165240377	60.6400056901999	5.63419210505583	169.514139572018
18	1995.3	60.6902428239951	7.10797662407169	61.105064485064	6.67998882917252	172.681196564022
19	1584.9	61.0648761520617	8.54913518614462	61.6604152750986	7.9696587298134	175.873254555963
20	1258.9	61.5053042483003	10.3045351562361	62.3625359928707	9.51094367480157	179.160315547664
21	1000	61.9697252338375	12.4440696067396	63.2068169894252	11.3544870853271	182.372375539554
22	794.33	62.50491938055	15.0827793088747	64.2989516123651	13.5664368183269	185.794438530914
23	630.96	63.0724936818715	18.3321974639516	65.6826379122142	16.2066546063563	189.226501522249
24	501.19	63.7901188488206	22.3475134880249	67.5913501998895	19.3068256000695	192.648565513609
25	398.11	64.5331956570659	27.3058670512399	70.0724176629659	22.934631562618	196.180632504692
26	316.23	65.3962298903016	33.4713289059405	73.4642548631293	27.1044346678303	199.87269949537
27	251.19	66.4270860447104	41.1605466681293	78.1456867805934	31.7838037066308	206.650826478257
28	199.53	67.6445082273112	50.7796300713135	84.5833927168579	36.8949604088671	211.214910466734
29	158.49	69.2247965878485	62.8395322243428	93.4926696206885	42.2319246125025	214.591972458207
30	125.89	71.3181433141072	77.9546782816717	105.656090367619	47.545642297001	218.384043448633
31	100	74.1853696648281	96.7320496701869	121.903890445312	52.5148193291406	225.777183429967
32	79.433	78.2287480328578	120.513502219142	143.677559959485	57.0112491983683	229.61425142028
33	63.096	83.6460873492659	149.738912788699	171.517958045164	60.8117113769582	233.656327410074
34	50.119	92.3905624321969	186.51775392375	208.146315257557	63.6487336971982	238.118406398809
35	39.811	106.199619410817	230.903049505059	254.154632918108	65.3008023164406	242.520491387695
36	31.623	126.321112794132	284.189493968757	310.999504854535	66.0350411207618	247.092575376151
37	25.119	156.178800332815	349.702094036846	382.992652993699	65.9342091335387	252.134667363421
38	19.953	198.283288524332	425.491488694069	469.424402283391	65.014010117163	256.886754351423
39	15.849	261.056343677712	513.411077225791	575.969920041423	63.0478331519397	261.623842339463
40	12.589	340.870479050279	600.124515446803	690.175425184225	60.4034426999384	274.340079307358
41	10	459.952746228301	688.178760879644	827.735788575556	56.2427251943238	279.692177293845
42	7.9433	603.641427437509	758.310650038824	969.235789104538	51.4790010228848	285.894293278186
43	6.3096	773.96630563763	807.728790654931	1118.68210029268	46.2228362958706	291.701399263525
44	5.0119	946.244751058216	829.070217093017	1258.06858071247	41.2238346404529	297.793514248144
45	3.9811	1123.17636795495	805.279207765027	1382.02740782922	35.6392345358494	303.720625233179
46	3.1623	1282.58868595414	762.062044471051	1491.90224108719	30.7170596625441	309.642731218227
47	2.5119	1418.0144211034	685.631627135899	1575.07321308764	25.8044760930951	315.844848202568
48	1.9953	1523.33196814569	611.705859533977	1641.56155649516	21.8783132440343	321.951961187149
49	1.5849	1608.82169363529	544.299291099265	1698.40188418486	18.6917938724531	328.409081170847
50	1.2589	1674.02200900059	490.038416891231	1744.2727242744	16.3163982829952	335.041202154102
51	1	1712.09607871222	426.326642666767	1764.37733747327	13.9827691724831	343.627365132424
52	0.79433	1754.02503489345	382.660729408995	1795.28077382475	12.3069044646367	347.749442122017
53	0.63096	1786.15052412259	349.101373234018	1819.9465551541	11.0589915458254	352.216519110739
54	0.50119	1817.67715717141	325.841319289944	1846.65178446272	10.1630379639714	357.093612098425
55	0.39811	1846.4101646313	314.97036456484	1873.08217294595	9.68063340596176	362.325709085216
56	0.31623	1873.57168493291	305.409615432257	1898.30079064958	9.25831415551192	368.182817070428
57	0.25119	1904.0310434779	308.232338070645	1928.81865108154	9.19550188350789	374.504934054466
58	0.19953	1940.86478764538	321.622283363948	1967.33246226406	9.4090277966305	381.792069036068
59	0.15849	1974.8982879814	330.058139575342	2002.28909585299	9.48796322749102	390.089223015119
60	0.12589	2008.41428860397	350.939708345013	2038.84443584151	9.91149706832127	399.611397991078
61	0.1	2056.58287099456	376.237289377553	2090.7146154333	10.3672150512264	410.858606962682
