Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	100000	60.0835406015162	1.35049200101627	60.0987161248796	1.287614951433	128.850390674684
2	79433	60.0846570273562	1.25393752107904	60.0977401355642	1.1955614559076	130.867423669592
3	63096	60.0826486939127	1.2065361407315	60.0947618643673	1.15041763507902	133.269469663527
4	50119	60.119073056877	1.19963517488782	60.1310408172929	1.14314656630162	135.441509658043
5	39811	60.1570018308888	1.24077685826921	60.169796380689	1.1815947696137	137.838553651991
6	31623	60.2226119782557	1.32006695256125	60.2370780353993	1.25571031463392	140.295597645788
7	25119	60.299976554014	1.46511175589425	60.3177728772532	1.3918447724215	142.802645639458
8	19953	60.4008548155183	1.64620977033562	60.4232841630878	1.56119525487384	145.354693633015
9	15849	60.5120704257114	1.88261666346697	60.5413487850066	1.78197848444009	147.921741626534
10	12589	60.6793844798267	2.14969229928671	60.7174511803011	2.02897256246109	150.703792619509
11	10000	60.7644770057554	2.52586065712763	60.8169518953572	2.38030332925752	153.530844612372
12	7943.3	60.9584878817268	2.97639002758251	61.0311079894747	2.79533279903054	156.407896605108
13	6309.6	61.1770925289273	3.49311961282239	61.2767373064397	3.26795414667962	159.23494859797
14	5011.9	61.3858869441245	4.1315351233084	61.5247649194369	3.850446239272	162.27700759029
15	3981.1	61.6932833919061	4.89220593931729	61.8869525395032	4.53400112849631	165.409062582382
16	3162.3	61.9833880056111	5.80963807563124	62.255058294278	5.3546296559337	168.551122574449
17	2511.9	62.3026145116178	6.94161193016828	62.6881308636037	6.3575412964839	171.878182566049
18	1995.3	62.7002964798135	8.31732371024976	63.2495458668092	7.55628787969118	175.28024555746
19	1584.9	63.133834317677	9.98136448362489	63.9179839529287	8.98401702648215	178.627307549009
20	1258.9	63.6150247980201	12.0084179991672	64.7385007773229	10.689767988458	182.33437753965
21	1000	64.147932596329	14.5051207692737	65.7674371168163	12.741439679042	185.901443530644
22	794.33	64.7756333903378	17.5799302397117	67.1188246943626	15.1841670159387	189.848517520679
23	630.96	65.4639825417815	21.382197381722	68.8674914244856	18.0883512551297	193.715586510915
24	501.19	66.2205462456171	26.0459442793279	71.1586393803996	21.4707659500957	197.537658501265
25	398.11	67.0881598003303	31.8275554333419	74.2550636001149	25.3803126872297	201.544731491148
26	316.23	68.115548514833	39.005264608392	78.4929208059379	29.7969102553414	205.531807481082
27	251.19	69.2461201562735	48.0011171163132	84.2563493222385	34.7295359551932	212.297933463999
28	199.53	70.5616691678851	58.9902791604906	91.9717467007704	39.8959692353794	216.585010453175
29	158.49	72.0224002035024	72.8626397049037	102.450917008293	45.3322747299372	221.102096441771
30	125.89	74.0548440582127	90.717174627827	117.105617717263	50.7743230117874	225.869182429735
31	100	76.1877188658698	111.800351282533	135.291858782717	55.7270469351337	231.326282415957
32	79.433	79.1001851015311	139.231370040259	160.13186343256	60.3982084537992	236.923386401826
33	63.096	83.6829211256134	174.021465942853	193.096612857438	64.3181689014699	241.935479389172
34	50.119	90.2003347171792	215.48532503732	233.602281002414	67.2862267062201	247.002575376378
35	39.811	97.3475302753864	268.990540500798	286.063721100088	70.1048374657498	251.979668363812
36	31.623	107.794197490376	335.857819028767	352.732283205484	72.205869496537	256.691752351916
37	25.119	129.728185347295	416.598863330393	436.330167421045	72.7034993001606	261.418842339981
38	19.953	153.830124676785	517.729331806512	540.099405916071	73.452019927452	266.4809343272
39	15.849	195.568176185392	634.529500257245	663.983884016163	72.8701920010388	277.945148298256
40	12.589	256.118471344045	785.03187515583	825.755239992026	71.930964431958	283.262246284832
41	10	334.359870479794	959.300756944474	1015.90081467706	70.7842343567092	293.717441258435
42	7.9433	461.963893130812	1151.59427553108	1240.79813587567	68.1417319340151	298.889536245376
43	6.3096	642.121213101419	1379.29727224344	1521.44031021038	65.0360305371089	304.691642230728
44	5.0119	867.51262385018	1613.58860272782	1832.00609480224	61.7362198099625	310.22374621676
45	3.9811	1169.80056440691	1828.20836220107	2170.43294669719	57.386377542543	316.235856201581
46	3.1623	1534.48477745947	2007.96776766512	2527.16799762835	52.6130129364899	322.307968186251
47	2.5119	1961.76254065763	2136.41237408689	2900.47756379516	47.4402684633033	328.505082170604
48	1.9953	2377.26811186044	2184.22334894313	3228.34869766834	42.5766579760739	334.922203154403
49	1.5849	2834.76393655126	2138.02065194929	3550.63640551004	37.0241355923751	341.649328137418
50	1.2589	3178.33243078488	2105.12613249264	3812.26351060395	33.5179693025489	348.55645511998
51	1	3526.91718664093	1996.96317675244	4053.02439799323	29.5188179844211	357.062615098504
52	0.79433	3819.36857940547	1896.4293522271	4264.2725796246	26.4057566293777	361.064686088399
53	0.63096	4067.41417158808	1797.95393116498	4447.07728534451	23.8472772130763	365.581769076995
54	0.50119	4302.32466416916	1721.27484050179	4633.87360557696	21.8053698664455	370.363857064921
55	0.39811	4494.47475532839	1676.63578414583	4797.02104216382	20.4577166405673	375.5609560518
56	0.31623	4689.87604299753	1665.34912660609	4976.77857777195	19.5496699757697	381.088058037845
57	0.25119	4876.67193946913	1707.34770325582	5166.91062289823	19.2954105195874	387.365173021997
58	0.19953	5078.23980090755	1707.02876911978	5357.46831013718	18.5798523315634	394.597306003738
59	0.15849	5234.85817320457	1765.46882267276	5524.54706355157	18.6368053878921	402.964460982613
60	0.12589	5465.73932862876	1887.58012816439	5782.49644606551	19.0522316759737	412.496639958546
61	0.1	5785.55095800995	2040.65663238667	6134.89033145936	19.4285635830031	423.74384793015
