,Index,Frequency (Hz),Z' (Ω),-Z'' (Ω),Z (Ω),-Phase (°),Time (s)
62,2,79433.0,52.4387221138944,0.966679827366991,52.4476314701329,1.05609746549706,965.618079562049
63,3,63096.0,52.4007600151033,0.950152207212502,52.4093735831418,1.03879688424774,967.931123556209
64,4,50119.0,52.4273181309785,0.961047972482863,52.4361259020176,1.05017437981839,970.329166550154
65,5,39811.0,52.4741099201261,1.02513967626098,52.4841225825994,1.11919394644802,972.672211544239
66,6,31623.0,52.5323996977665,1.1158161933678,52.5442486270693,1.2168099516162,975.005253538348
67,7,25119.0,52.6125153395654,1.23718748279553,52.6270596102765,1.34706655808137,977.408297532281
68,8,19953.0,52.6956332170909,1.39883131269686,52.7141962775831,1.52058734207694,979.806342526227
69,9,15849.0,52.7908163214511,1.59516242047322,52.8149110671681,1.73076075777816,982.259389520033
70,10,12589.0,52.918711946852,1.85509367955197,52.9512176127595,2.00771196825793,984.832435513537
71,11,10000.0,53.0902216978333,2.14744001766672,53.133634719964,2.31628743746186,987.500486506801
72,12,7943.3,53.2404228070504,2.51896342593466,53.2999793378448,2.708814425779,990.293536499749
73,13,6309.6,53.4106038315965,2.97051277545847,53.4931448674026,3.18331328466743,993.146589492546
74,14,5011.9,53.60600830818,3.49770544248978,53.7199969294404,3.73316525490223,996.084643485128
75,15,3981.1,53.8345675801814,4.13263999862523,53.9929567620014,4.38973250930926,999.082698477559
76,16,3162.3,54.0785936918798,4.90327891722617,54.3004276210744,5.18081344654104,1002.03075547012
77,17,2511.9,54.3767000623104,5.84732767763713,54.6901887968594,6.13764206551606,1005.07381146243
78,18,1995.3,54.7161255321359,6.99103783990401,55.1609372955847,7.28118755386206,1008.20186945453
79,19,1584.9,55.0665889394581,8.38458228954595,55.7012606463931,8.65750839718649,1011.27992744676
80,20,1258.9,55.4423977712082,10.1046152537767,56.3556804594508,10.3290325922924,1014.52298643858
81,21,1000.0,55.8505359436728,12.2118500383196,57.1700240209316,12.3337468610189,1017.49104243108
82,22,794.33,56.3256055516008,14.8211754705741,58.242948784244,14.7422763232499,1020.92410542241
83,23,630.96,56.8182833248433,18.0835956597804,59.6266194913698,17.6547492645238,1024.18716541418
84,24,501.19,57.3627586635557,22.1379184795548,61.4863685388945,21.1030185032888,1027.45522640592
85,25,398.11,58.0131821949428,27.2592396985477,64.0983264783606,25.167897338273,1030.60328239798
86,26,316.23,58.7936881442596,33.6241700851773,67.7294808744418,29.7652831400991,1033.82634238984
